player1,numeric,tag_similarity,categorical,tag_numeric,tag_categorical,numeric_categorical,all,player2
Jordan Thompson,,,0.6454972243679028,,,,0.6454972243679028,Mackenzie McDonald
Gijs Brouwer,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Lexie Stevens,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Corentin Moutet,,,0.4472135954999579,,,,0.4472135954999579,Mackenzie McDonald
Victoria Azarenka,,,0.5477225575051661,,,,0.5477225575051661,Mackenzie McDonald
Mikael Ymer,,,0.6674238124719146,,,,0.6674238124719146,Mackenzie McDonald
Pablo Carreno Busta,,,0.50709255283711,,,,0.50709255283711,Mackenzie McDonald
Zeynep Sonmez,,,0.565685424949238,,,,0.565685424949238,Mackenzie McDonald
Edan Leshem,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Liudmila Samsonova,,,0.6324555320336759,,,,0.6324555320336759,Mackenzie McDonald
Robin Haase,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Jannik Sinner,,,0.5262348115842176,,,,0.5262348115842176,Mackenzie McDonald
Ekaterina Makarova,,,0.6324555320336759,,,,0.6324555320336759,Mackenzie McDonald
Giovanni Mpetshi Perricard,,,0.6708203932499369,,,,0.6708203932499369,Mackenzie McDonald
Rebecca Peterson,,,0.7627700713964739,,,,0.7627700713964739,Mackenzie McDonald
Karolina Muchova,,,0.5477225575051661,,,,0.5477225575051661,Mackenzie McDonald
Magali Kempen,,,0.7171371656006361,,,,0.7171371656006361,Mackenzie McDonald
Oksana Kalashnikova,,,0.5590169943749475,,,,0.5590169943749475,Mackenzie McDonald
Ysaline Bonaventure,,,0.45643546458763845,,,,0.45643546458763845,Mackenzie McDonald
Yanina Wickmayer,,,0.7826237921249264,,,,0.7826237921249264,Mackenzie McDonald
Borna Coric,,,0.5720775535473553,,,,0.5720775535473553,Mackenzie McDonald
Kristina Dmitruk,,,0.6324555320336759,,,,0.6324555320336759,Mackenzie McDonald
Dalila Jakupovic,,,0.6708203932499369,,,,0.6708203932499369,Mackenzie McDonald
Viktoria Hruncakova,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Emil Ruusuvuori,,,0.7627700713964739,,,,0.7627700713964739,Mackenzie McDonald
Dalma Galfi,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Kimberly Birrell,,,0.6674238124719146,,,,0.6674238124719146,Mackenzie McDonald
Qinwen Zheng,,,0.48989794855663565,,,,0.48989794855663565,Mackenzie McDonald
Emina Bektas,,,0.9486832980505138,,,,0.9486832980505138,Mackenzie McDonald
Priscilla Hon,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Lloyd Harris,,,0.7378647873726218,,,,0.7378647873726218,Mackenzie McDonald
Mackenzie McDonald,,,0.4472135954999579,,,,0.4472135954999579,Corentin Moutet
Emina Bektas,,,0.47140452079103173,,,,0.47140452079103173,Corentin Moutet
Dayne Kelly,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Roberto Bautista Agut,,,0.4082482904638631,,,,0.4082482904638631,Corentin Moutet
Pablo Carreno Busta,,,0.3779644730092272,,,,0.3779644730092272,Corentin Moutet
Yue Yuan,,,0.5,,,,0.5,Corentin Moutet
Natalija Stevanovic,,,0.5773502691896258,,,,0.5773502691896258,Corentin Moutet
Giovanni Mpetshi Perricard,,,0.625,,,,0.625,Corentin Moutet
Varvara Gracheva,,,0.375,,,,0.375,Corentin Moutet
Yanina Wickmayer,,,0.5,,,,0.5,Corentin Moutet
Jelle Sels,,,0.4008918628686366,,,,0.4008918628686366,Corentin Moutet
Karolina Muchova,,,0.5103103630798288,,,,0.5103103630798288,Corentin Moutet
Veronika Kudermetova,,,0.31980107453341566,,,,0.31980107453341566,Corentin Moutet
